Team:,102
Match:,12,17
Position,Right,Middle
AUTONOMOUS,,
Crossed Line:,Yes,Yes
Dropped Block:,No,No
Block Placement:,N/A,N/A
Blocks Picked Up:,4,3
Alliance Switch Blocks:,0,0
Scale Blocks:,0,0
Opponent Switch Blocks:,0,0
Blocks in Exchange:,0,0
TELEOP,,
Blocks Picked Up:,4,3
Alliance Switch Blocks:,0,0
Scale Blocks:,3,4
Opponent Switch Blocks:,0,0
Blocks in Exchange:,0,0
Levitate:,1,3
Force:,0,0
Boost:,0,2
ENDGAME,,
Climb:,Did Not Climb,Did Not Climb
Number Climbing on This:,0,0
Error:,No,No
Defensive:,No,No
Comments:,0,0
